Outlet,Predicted February 2025 Sales
Alim Knit (BD) Ltd.,3.6288812e+06
Aus-Bangla Jutex,1.3196621e+06
Concorde Garments Ltd.,1.2135098e+06
Continental Garments Ind. (Pvt.) Ltd.,1.5936044e+06
Dekko Designs Limited,2.02308e+06
EcoFab Limited,962954.3
Evitex Dress Shirt Limited,2.9598612e+06
GoodEarth Apparels Ltd.,716278.1
Interfab Shirt Manufacturing Limited Unit-01,919214.1
Interfab Shirt Manufacturing Limited Unit-02 (Viyellatex Group).,964932.3
Interstoff Apparels Ltd.,2.0591521e+06
KDS IDR Limited,600470.06
Lida Textile & Dyeing Limited,5.7305695e+06
Liz Fashion Industry Ltd.,6.477225e+06
MG Niche Stitch Limited,1.5126982e+06
Majumder Garments Limited,1.6340998e+06
Mehmud Industries Limited,621068.9
Millenneium Textiles (Southern) Ltd.,599039.56
Picard Bangladesh Limited,605611.1
Renaissance Apparels Ltd.,1.5361488e+06
Saturn Textiles Ltd.,600754.9
Silken Sewing Ltd.,2.6647632e+06
Silver Line Composite Mills Ltd.,2.0912609e+06
Southern Garments Ltd.,664498.56
The Rose Dresses Limited,1.7105836e+06
Ultimate Fashions Limited,841758.56
